time,vertex,state,state_id,buffer_occupation,production_step
20,3,working,2,0.6666666666666666,3
20,15,working,2,0.6666666666666666,3
20,23,working,2,0.6666666666666666,3
20,29,working,2,0.6666666666666666,3
20,4,working,2,0.0,4
20,5,working,2,0.0,4
20,6,working,2,0.0,4
20,14,working,2,0.0,4
20,18,working,2,0.0,4
20,19,starved,0,0.0,4
20,20,starved,0,0.0,4
20,27,starved,0,0.0,4
21,0,working,2,0.0,0
21,9,working,2,0.0,0
21,12,working,2,0.0,0
21,13,working,2,0.0,0
21,24,working,2,0.0,0
21,28,working,2,0.0,0
21,1,working,2,0.6666666666666666,1
21,8,working,2,0.6666666666666666,1
21,10,working,2,0.6666666666666666,1
21,16,working,2,0.6666666666666666,1
21,21,working,2,0.3333333333333333,1
21,26,working,2,0.3333333333333333,1
21,2,working,2,0.6666666666666666,2
21,7,working,2,0.6666666666666666,2
21,11,working,2,0.6666666666666666,2
21,17,working,2,0.6666666666666666,2
21,22,blocked,1,0.3333333333333333,2
21,25,blocked,1,0.0,2
21,3,working,2,0.6666666666666666,3
21,15,working,2,0.6666666666666666,3
21,23,working,2,0.6666666666666666,3
21,29,working,2,0.6666666666666666,3
21,4,working,2,0.0,4
21,5,working,2,0.0,4
21,6,working,2,0.0,4
21,14,working,2,0.0,4
21,18,working,2,0.0,4
21,19,starved,0,0.0,4
21,20,starved,0,0.0,4
21,27,starved,0,0.0,4
22,0,working,2,0.0,0
22,9,working,2,0.0,0
22,12,working,2,0.0,0
22,13,working,2,0.0,0
22,24,working,2,0.0,0
22,28,working,2,0.0,0
22,1,working,2,0.6666666666666666,1
22,8,working,2,0.6666666666666666,1
22,10,working,2,0.6666666666666666,1
22,16,working,2,0.6666666666666666,1
22,21,working,2,0.3333333333333333,1
22,26,blocked,1,0.3333333333333333,1
22,2,working,2,0.6666666666666666,2
22,7,working,2,0.6666666666666666,2
22,11,working,2,0.6666666666666666,2
22,17,working,2,0.6666666666666666,2
22,22,blocked,1,0.3333333333333333,2
22,25,blocked,1,0.0,2
22,3,working,2,0.6666666666666666,3
22,15,working,2,0.6666666666666666,3
22,23,working,2,0.6666666666666666,3
22,29,working,2,0.6666666666666666,3
22,4,working,2,0.0,4
22,5,working,2,0.0,4
22,6,working,2,0.0,4
22,14,working,2,0.0,4
22,18,starved,0,0.0,4
22,19,starved,0,0.0,4
22,20,starved,0,0.0,4
22,27,starved,0,0.0,4
23,0,working,2,0.0,0
23,9,working,2,0.0,0
23,12,working,2,0.0,0
23,13,working,2,0.0,0
23,24,working,2,0.0,0
23,28,working,2,0.0,0
23,1,working,2,0.6666666666666666,1
23,8,working,2,0.6666666666666666,1
23,10,working,2,0.6666666666666666,1
23,16,working,2,0.6666666666666666,1
23,21,working,2,0.6666666666666666,1
23,26,blocked,1,0.3333333333333333,1
23,2,working,2,0.6666666666666666,2
23,7,working,2,0.6666666666666666,2
23,11,working,2,0.6666666666666666,2
23,17,blocked,1,0.6666666666666666,2
23,22,blocked,1,0.3333333333333333,2
23,25,blocked,1,0.0,2
23,3,working,2,0.6666666666666666,3
23,15,working,2,0.6666666666666666,3
23,23,working,2,0.6666666666666666,3
23,29,working,2,0.6666666666666666,3
23,4,working,2,0.0,4
23,5,working,2,0.0,4
23,6,working,2,0.0,4
23,14,working,2,0.0,4
23,18,working,2,0.0,4
23,19,starved,0,0.0,4
23,20,starved,0,0.0,4
23,27,starved,0,0.0,4
24,0,working,2,0.0,0
24,9,working,2,0.0,0
24,12,working,2,0.0,0
24,13,working,2,0.0,0
