case_id,activity_id,time_stamp,time_stamp_out,product_id
26,38,2023-09-24 10:08:35,2023-09-24 10:54:35,26
26,2,2023-09-24 10:54:35,2023-09-24 11:27:35,26
26,22,2023-09-24 11:27:35,2023-09-24 11:33:35,26
26,18,2023-09-24 11:33:35,2023-09-24 11:47:35,26
26,21,2023-09-24 11:47:35,2023-09-24 11:56:35,26
26,6,2023-09-24 11:56:35,2023-09-24 12:46:35,26
26,30,2023-09-24 12:46:35,2023-09-24 12:51:35,26
27,37,2023-09-24 09:55:35,2023-09-24 10:24:35,27
27,38,2023-09-24 10:24:35,2023-09-24 11:49:35,27
27,8,2023-09-24 11:49:35,2023-09-24 12:11:35,27
27,3,2023-09-24 12:11:35,2023-09-24 12:22:35,27
27,18,2023-09-24 12:22:35,2023-09-24 12:37:35,27
27,35,2023-09-24 12:37:35,2023-09-24 12:46:35,27
27,6,2023-09-24 12:46:35,2023-09-24 13:27:35,27
27,30,2023-09-24 13:27:35,2023-09-24 13:32:35,27
28,0,2023-09-24 09:56:35,2023-09-24 12:32:35,28
28,14,2023-09-24 12:32:35,2023-09-24 14:59:35,28
28,9,2023-09-24 14:59:35,2023-09-24 15:26:35,28
28,22,2023-09-24 15:26:35,2023-09-24 15:38:35,28
28,12,2023-09-24 15:38:35,2023-09-24 15:49:35,28
28,21,2023-09-24 15:49:35,2023-09-24 15:58:35,28
28,10,2023-09-24 15:58:35,2023-09-24 16:28:35,28
28,24,2023-09-24 16:28:35,2023-09-24 16:34:35,28
29,37,2023-09-24 09:59:35,2023-09-24 10:29:35,29
29,1,2023-09-24 10:29:35,2023-09-24 13:05:35,29
29,8,2023-09-24 13:05:35,2023-09-24 13:21:35,29
29,3,2023-09-24 13:21:35,2023-09-24 13:38:35,29
29,18,2023-09-24 13:38:35,2023-09-24 13:43:35,29
29,21,2023-09-24 13:43:35,2023-09-24 14:02:35,29
29,6,2023-09-24 14:02:35,2023-09-24 14:23:35,29
29,24,2023-09-24 14:23:35,2023-09-24 14:28:35,29
30,11,2023-09-24 09:59:35,2023-09-24 10:13:35,30
30,38,2023-09-24 10:13:35,2023-09-24 11:32:35,30
30,9,2023-09-24 11:32:35,2023-09-24 11:40:35,30
30,22,2023-09-24 11:40:35,2023-09-24 11:46:35,30
30,12,2023-09-24 11:46:35,2023-09-24 12:08:35,30
30,25,2023-09-24 12:08:35,2023-09-24 12:26:35,30
30,31,2023-09-24 12:26:35,2023-09-24 12:42:35,30
30,24,2023-09-24 12:42:35,2023-09-24 12:48:35,30
31,36,2023-09-24 10:00:35,2023-09-24 17:38:35,31
31,27,2023-09-24 17:38:35,2023-09-24 18:14:35,31
31,2,2023-09-24 18:14:35,2023-09-24 18:25:35,31
31,3,2023-09-24 18:25:35,2023-09-24 18:32:35,31
31,18,2023-09-24 18:32:35,2023-09-24 18:40:35,31
31,13,2023-09-24 18:40:35,2023-09-24 19:06:35,31
31,10,2023-09-24 19:06:35,2023-09-24 19:16:35,31
31,30,2023-09-24 19:16:35,2023-09-24 19:21:35,31
32,37,2023-09-24 10:03:35,2023-09-24 10:42:35,32
32,1,2023-09-24 10:42:35,2023-09-24 13:26:35,32
32,9,2023-09-24 13:26:35,2023-09-24 13:34:35,32
32,20,2023-09-24 13:34:35,2023-09-24 13:45:35,32
32,18,2023-09-24 13:45:35,2023-09-24 13:58:35,32
32,25,2023-09-24 13:58:35,2023-09-24 14:08:35,32
32,6,2023-09-24 14:08:35,2023-09-24 14:35:35,32
32,24,2023-09-24 14:35:35,2023-09-24 14:40:35,32
33,11,2023-09-24 10:04:35,2023-09-24 10:29:35,33
33,27,2023-09-24 10:29:35,2023-09-24 11:25:35,33
33,8,2023-09-24 11:25:35,2023-09-24 11:43:35,33
33,34,2023-09-24 11:43:35,2023-09-24 11:50:35,33
33,18,2023-09-24 11:50:35,2023-09-24 11:55:35,33
33,13,2023-09-24 11:55:35,2023-09-24 12:11:35,33
33,6,2023-09-24 12:11:35,2023-09-24 12:57:35,33
33,7,2023-09-24 12:57:35,2023-09-24 13:17:35,33
34,11,2023-09-24 10:09:35,2023-09-24 10:46:35,34
34,19,2023-09-24 10:46:35,2023-09-24 11:29:35,34
34,2,2023-09-24 11:29:35,2023-09-24 11:42:35,34
34,26,2023-09-24 11:42:35,2023-09-24 11:54:35,34
